first_name,last_name,email,phone,city,country,company,job_title,salary,joining_date
Darlene,Thomas,chandlersara@example.org,1853935012803,New Jennifer,Bermuda,"Johnson, Beard and Day","Programmer, multimedia",22149,1996-04-20
Brendan,Lambert,kphillips@example.net,4233432657335,North Calvin,Tajikistan,"Carpenter, Morgan and Dickerson",Exhibition designer,73853,1971-05-30
Sean,Hendricks,sharris@example.org,4489266312189,South Elizabethview,Dominican Republic,"Butler, Garcia and Tucker",Pathologist,35626,1987-01-19
Katrina,Andrews,carlawilliams@example.com,4399473602433,Port Hannahside,Timor-Leste,Nguyen-Lawrence,"Administrator, sports",13749,2025-11-17
Cathy,Davis,alexandercannon@example.net,1637863916919,Port Joshua,Hong Kong,"Perry, Alexander and Holmes",Stage manager,28649,1989-05-22
Robert,Anderson,logandiane@example.net,5016423909526,East Lindachester,Somalia,"Fisher, Martinez and Coleman","Therapist, art",37937,1978-01-02
Scott,Harris,brittanychapman@example.org,0838270266014,East Jason,Niue,"Vincent, Short and Haas",Further education lecturer,6287,1981-05-09
Nathan,Hill,tmedina@example.org,2694203966193,South Philip,Armenia,Molina-Colon,Research scientist (life sciences),25414,2007-06-11
Catherine,Gilbert,keithgarcia@example.net,0631925368201,New Lisaton,Czech Republic,Murphy Inc,"Restaurant manager, fast food",8549,1987-09-04
Bonnie,Cooper,williamfarley@example.net,2420892681278,West Kimberly,North Macedonia,Paul LLC,Immunologist,10623,1975-04-21
Amber,Harris,ginamcbride@example.com,0914144191029,Hernandezstad,Cyprus,"Bradley, Cook and Bautista",Media buyer,2885,1972-02-01
Jody,Dixon,allenrogers@example.net,9840407575355,South Rebecca,Kiribati,Ibarra LLC,Midwife,32014,2019-04-23
Carolyn,Nelson,lunajamie@example.com,0661940637885,Taylormouth,Netherlands,"Lee, Martin and Carson",English as a second language teacher,75787,1983-07-30
Tiffany,Douglas,natasha89@example.com,3165314094896,Lake Margaret,Mexico,Daniels Inc,Optometrist,29767,2013-02-04
Jessica,Hodges,rachel93@example.com,3453199837348,Port Kristin,Macao,Lane-Perkins,Audiological scientist,82936,1995-01-04
Rodney,Mitchell,juliecastaneda@example.com,2246520088939,North Isabellatown,Central African Republic,Barron-Simon,Dispensing optician,25123,1993-02-13
Jenna,Neal,lindsaybooth@example.net,0846020067671,Lisaton,Mexico,Miller-Haynes,Bonds trader,84625,1977-06-06
Gregory,Andrews,barrerakyle@example.net,9515128145783,New Bethany,Seychelles,"Smith, Hanson and Morales",Contractor,36889,1973-10-11
Michelle,Forbes,craig03@example.net,5075095328981,Bonillabury,Philippines,"Moreno, Johnson and Fry",Writer,91152,1971-01-20
John,Bennett,thompsonronald@example.com,9374418430321,Duranton,Solomon Islands,Avery Ltd,"Administrator, sports",48253,2017-01-22
