customer_id,first_name,last_name,email,phone_number,account_number,account_type,branch_name,city,country,balance
221175,Brittney,Jones,owalls@example.com,2803889509215,ECFW14609923919253,GPJB75595315525565,Maria Erickson,Daviston,Wallis and Futuna,368870.61
704005,Ashley,Bauer,nicolediaz@example.org,7135048939121,XQFA71399912715308,YFJI10978263071104,Makayla Deleon,Joseside,Ireland,305018.78
805574,Christopher,Martinez,melissa13@example.com,3612708736165,LAZR02896397589366,EHYJ97601981456584,Gregory Smith,Lake Stephanie,United Kingdom,271736.77
379861,Kimberly,Davis,carol60@example.org,7172478018884,TXGU17973404918222,OIHR79860103384277,Mary Walsh,Allenberg,Hong Kong,362575.75
980085,Bradley,Alexander,vshepard@example.com,8611360571392,IBBF80078655586063,DQMV69224922022144,Elizabeth Smith,Port Michaelmouth,Libyan Arab Jamahiriya,237394.83
465210,Robert,Bennett,martinhenry@example.net,6350062414479,RZAS89085448144409,KXVA07412108621529,Willie Ward,West Mark,Saint Kitts and Nevis,89578.09
269539,Michael,Flowers,kmorrison@example.com,3043179253418,XLWE47678371273028,UKQN70825194124185,Emily Williams DDS,Owenshire,North Macedonia,423835.07
672232,Juan,Doyle,sergio81@example.com,7823024193418,IXAU00725963438940,AIXN30365195162216,Connor Anderson,Frankland,Luxembourg,49489.52
810960,Suzanne,Schaefer,debra79@example.org,8435933601954,BFAL21484590565102,XWXY75509348499035,William Crosby,Codyshire,Austria,102322.74
310457,Kimberly,Cardenas,georgescott@example.org,8855839821737,FMVB36993909911981,YVEW92292663115079,Cheryl Hill,New Maria,Uganda,444379.19
