customer_id,full_name,email,phone,pan_no,aadhar_no,account_no,ifsc_code,balance,cibil_score,txn_id,txn_amount,txn_type,kyc_status,loan_status
CUST80316434,Bina Gour,david51@example.org,+91-7672191286,OGCRP1394H,2173-1787-4567,SB-6637-4993-7563,AXIS8946014,294416.93,842,TXN2026031813400829,142275.67,IMPS,Rejected,Closed
CUST93522778,Abhiram Kanda,poojaamble@example.com,+91-8116054837,RUGNF8721N,7391-1945-2707,SB-8122-2471-7430,HDFC5834631,462011.53,796,TXN2026031813400886,93578.47,IMPS,Pending,Active
CUST39300135,Mitesh Subramaniam,ynagarajan@example.net,+91-8524301816,XXYMZ3350W,7794-2216-5649,SB-8946-9827-7385,HDFC5494689,489058.04,825,TXN2026031813400819,115288.65,UPI,Pending,Rejected
CUST55512661,Pushti Bhandari,dharutkarsh@example.org,+91-8448152252,LRDWN8235D,5413-8702-5796,SB-2723-1351-9300,HDFC1801553,456707.77,836,TXN2026031813400899,12957.31,RTGS,Verified,NPA
CUST27095382,Kala Rajagopal,tjoshi@example.org,+91-8225033629,SUGDF4716Z,6202-5060-8449,SB-5687-9083-5175,HDFC3658659,481632.78,735,TXN2026031813400847,106726.13,IMPS,Verified,Rejected
CUST36440041,Arunima Tripathi,adyahari@example.org,+91-9166641268,QSNQE6322G,2040-7058-3847,SB-1049-6962-8628,AXIS6392344,353221.05,763,TXN2026031813400875,173229.2,UPI,Verified,Closed
CUST56423602,Baljiwan Muni,isethi@example.com,+91-7738777130,ESHYS8599F,8171-8865-9264,SB-6378-6824-8578,KOTAK2162051,168105.13,777,TXN2026031813400830,31517.89,UPI,Rejected,Rejected
CUST52412665,Ira Palla,keerkashish@example.net,+91-8709526061,PTXEH2466C,5261-5963-8985,SB-7671-5860-4394,SBIN5784722,98648.59,878,TXN2026031813400834,39650.69,NEFT,Pending,Active
CUST63914433,Warhi Choudhry,malhotranachiket@example.com,+91-9839107870,KESVO7999B,1789-1314-9906,SB-6306-7229-5732,ICIC1182139,419955.43,785,TXN2026031813400875,159013.6,NEFT,Verified,NPA
CUST53384985,Mohammed Manne,ycheema@example.com,+91-9884434263,ALRVR6485E,4912-3413-3281,SB-8070-8210-2457,HDFC9629527,255028.7,745,TXN2026031813400872,62038.28,RTGS,Rejected,NPA
CUST49915132,Chameli Prakash,gbansal@example.net,+91-9518933856,UBSSQ7431L,5434-5002-1081,SB-5977-1852-4396,SBIN3489248,276134.19,814,TXN2026031813400844,11888.34,RTGS,Verified,Active
CUST74577631,Ekani Buch,harrison60@example.net,+91-9623414325,DZKYP6582U,4502-2436-4181,SB-5605-9653-6401,KOTAK8927035,104090.13,774,TXN2026031813400810,64543.6,UPI,Pending,Rejected
CUST61441084,Jai Kumer,nishacomar@example.org,+91-9930045047,IJRTG7774G,3364-2895-6259,SB-5232-9918-3293,HDFC1558482,31287.54,783,TXN2026031813400828,82634.9,UPI,Rejected,Active
CUST76323910,Omisha Sunder,darika64@example.net,+91-8275032141,KSVJY1336A,5338-6901-1445,SB-4764-1465-4168,KOTAK2916296,149216.68,820,TXN2026031813400893,198142.41,RTGS,Pending,NPA
CUST62036690,Veer Chadha,anirudh18@example.com,+91-9971853931,JDBOG4179I,6177-3159-7693,SB-1199-5331-6920,SBIN3627597,433388.76,721,TXN2026031813400835,20420.15,IMPS,Pending,Closed
CUST70229963,Jeremiah Nagarajan,wbobal@example.net,+91-7203894157,SHQGK1591P,7749-2678-9945,SB-4257-4234-9768,AXIS9505187,42970.77,844,TXN2026031813400849,29305.9,UPI,Pending,Closed
CUST24747550,Faris Chand,issacjeevika@example.org,+91-9516151047,NJXSB2611J,9300-1211-9599,SB-1708-1708-4554,SBIN5878010,400987.4,830,TXN2026031813400819,86184.24,NEFT,Pending,Closed
CUST88845182,Theodore Sridhar,gnatt@example.net,+91-9952317225,OEIBV7502T,4860-4510-1018,SB-6535-3709-7479,ICIC5831095,53957.14,813,TXN2026031813400875,83843.08,IMPS,Rejected,Rejected
