customer_id,full_name,email,phone,pan_no,aadhar_no,account_no,ifsc_code,balance,cibil_score,txn_id,txn_amount,txn_type,kyc_status,loan_status
CUST45259957,Ekbal Chokshi,raghavchacko@example.org,+91-7204759982,RBXBR5965V,2881-3582-7728,SB-4799-9201-9362,KOTAK7827264,16170.05,720,TXN2026031116283555,62766.28,UPI,Verified,Closed
CUST22321857,Zaitra Kari,chakrabortyfrederick@example.org,+91-8311394239,IIJYI8318U,9057-8146-8274,SB-2779-6767-4647,KOTAK9898824,31286.95,799,TXN2026031116283548,49773.26,IMPS,Rejected,Rejected
CUST51127531,Bishakha Ramachandran,ektavenkataraman@example.com,+91-9525296139,IMYUU8019Z,3858-5810-4803,SB-8577-3424-2832,AXIS7686136,64640.97,701,TXN2026031116283598,87203.9,RTGS,Verified,Active
CUST64914547,Oeshi Joshi,kavyaoommen@example.net,+91-9940727914,VCYFT2868I,2899-3717-6364,SB-8475-2547-8269,ICIC5544034,13466.14,896,TXN2026031116283567,87033.32,UPI,Verified,Closed
CUST83739287,Riya Borra,chowdhurymaanav@example.org,+91-7721854544,SFJLM2914E,7273-2208-2316,SB-3808-1591-5312,AXIS1062365,475609.78,716,TXN2026031116283546,190191.7,UPI,Pending,Closed
CUST48223592,Gayathri Malhotra,akeer@example.com,+91-7207220443,TBYEV3752S,3227-1597-7058,SB-9562-4104-7910,ICIC8211028,13358.66,871,TXN2026031116283555,166275.75,RTGS,Verified,Rejected
CUST69874215,Rohan Mohan,qbaral@example.com,+91-9161730064,KFKJA4194C,2055-9524-2332,SB-8342-1080-7969,ICIC7248571,418840.13,885,TXN2026031116283562,129339.61,IMPS,Pending,NPA
CUST15654622,Hritik Bhavsar,nbalasubramanian@example.com,+91-7978953552,AKMXN3582W,4061-1601-5564,SB-6787-6389-8223,KOTAK9629890,432219.43,892,TXN2026031116283521,198028.46,UPI,Verified,Active
CUST98270046,Shivansh Sani,reyansh10@example.net,+91-7898880049,FMKAC0272N,9674-1294-8190,SB-1987-1679-4214,ICIC4204390,66691.74,737,TXN2026031116283565,42444.41,RTGS,Verified,NPA
CUST30303113,Bhavna Divan,lajitapalla@example.net,+91-8870766572,HASEW0320U,5710-7302-9410,SB-5519-2613-9088,AXIS5502284,187502.71,845,TXN2026031116283555,190282.86,UPI,Pending,Rejected
CUST76495346,Abhimanyu Kala,christopher39@example.net,+91-7437552064,DEUFY8310X,3790-6270-8491,SB-5301-4820-7677,AXIS5697406,76150.62,744,TXN2026031116283561,100691.57,UPI,Verified,Active
CUST30867656,Ishanvi Vora,sarakeer@example.net,+91-8342860978,PZNIU8068J,3940-1416-5167,SB-9264-5536-9660,SBIN8897714,479692.45,779,TXN2026031116283512,167254.45,RTGS,Rejected,Rejected
CUST50151746,Brijesh Golla,palanoliver@example.org,+91-9251597299,GOOKX5977Z,5770-2427-4141,SB-9776-3090-3979,AXIS4200584,99899.97,701,TXN2026031116283543,38114.07,IMPS,Pending,Rejected
CUST53057936,Jackson Tak,raghavanbanjeet@example.org,+91-7425024854,VYFGI2243B,3355-1476-2297,SB-5010-3575-9259,ICIC9808576,172803.69,803,TXN2026031116283528,2011.3,UPI,Pending,Closed
CUST95118143,Omaja Patil,caleb44@example.org,+91-9531366123,MHSRS8406S,8632-3245-8413,SB-9251-5066-6706,AXIS3581320,155898.37,893,TXN2026031116283528,176077.42,NEFT,Verified,Closed
CUST70261387,Yochana Lata,choprakamya@example.net,+91-7248541672,BDOJZ2632P,3159-7672-1057,SB-9179-3933-1841,SBIN1593880,420461.65,802,TXN2026031116283515,59000.77,IMPS,Rejected,NPA
CUST54778356,Jalsa Tripathi,pillaianya@example.com,+91-8976281332,XLPEX3073Q,3281-7168-1876,SB-4044-8787-2882,ICIC7137313,199286.81,744,TXN2026031116283519,32202.44,IMPS,Rejected,Rejected
CUST31776589,Jatin Arora,wrideshkadakia@example.org,+91-7951540447,LGBPK9778K,8445-2705-6678,SB-4794-3063-3813,KOTAK3370218,208422.73,748,TXN2026031116283587,11948.25,RTGS,Rejected,Active
CUST88438612,Chanakya Kurian,shaurya40@example.org,+91-7516651335,VGQOI7677W,1714-1470-1817,SB-5420-4423-9059,ICIC9800742,193543.5,863,TXN2026031116283595,40033.38,IMPS,Rejected,Rejected
CUST87859925,Chanchal Gopal,henryparmer@example.org,+91-7045110092,NMODQ1794C,8526-6665-5438,SB-4820-1141-9569,HDFC1012676,135534.24,829,TXN2026031116283537,123453.92,RTGS,Verified,Closed
CUST74687287,Finn Srinivasan,maxlal@example.com,+91-7850480684,MHEXK1264F,6256-2327-2889,SB-6932-8385-5941,HDFC9686850,425910.71,823,TXN2026031116283587,134728.69,RTGS,Rejected,NPA
CUST41659838,Kiaan Swamy,anandtara@example.org,+91-8700872942,SJSMY4012V,4996-3022-8436,SB-8597-4579-8886,ICIC1083174,439746.17,795,TXN2026031116283578,32691.45,RTGS,Rejected,Closed
CUST77735074,Bhavika Saraf,charitabuch@example.org,+91-9950917066,DUZSE2090Z,4486-9761-4777,SB-6557-5997-4096,SBIN9656283,376226.76,780,TXN2026031116283574,85710.82,RTGS,Pending,NPA
CUST68387865,Samesh Borra,ppau@example.net,+91-9547518679,PTZVH5832Z,2434-6150-1716,SB-4681-9437-3767,ICIC6508155,378371.83,842,TXN2026031116283586,19573.99,IMPS,Pending,Rejected
CUST51331855,Rajata Sarin,qbakshi@example.com,+91-8799319012,XNHKH3386U,2357-5521-8196,SB-2768-6063-7536,SBIN8428572,481891.7,728,TXN2026031116283584,62953.74,IMPS,Verified,Active
CUST71339938,Udyati Krishnan,pillaianmol@example.net,+91-8082741464,FIBET2082N,2036-5584-3977,SB-5792-4491-9488,SBIN1994600,85450.8,752,TXN2026031116283578,84910.27,RTGS,Rejected,Active
CUST13010161,Lohit Subramanian,pvarty@example.org,+91-9020432254,ZRQLY9249F,9684-9345-5751,SB-4570-2385-1993,AXIS7164591,43991.93,859,TXN2026031116283587,179637.88,UPI,Rejected,Active
CUST46202923,Neel Rau,baliirya@example.net,+91-9023236057,MPNUW8669S,1647-4461-4305,SB-1279-9281-4908,AXIS7907093,127023.52,827,TXN2026031116283525,127369.63,RTGS,Rejected,NPA
CUST40329266,Suhani Cheema,nitara46@example.com,+91-9835447114,LQKYP2903B,6931-1265-1876,SB-5981-6143-6243,AXIS8083163,363862.71,777,TXN2026031116283521,176312.14,NEFT,Pending,Closed
CUST80284869,Avi Deshpande,faras67@example.org,+91-7888065788,IWEPR5817T,7882-8977-2194,SB-9762-9127-2436,SBIN9217645,101649.31,793,TXN2026031116283576,186945.3,UPI,Pending,Rejected
CUST34972756,Saumya Chana,bina41@example.com,+91-8373884020,AMLWM5580W,1213-9461-6031,SB-5166-2226-3902,SBIN1075104,199507.08,769,TXN2026031116283587,183397.29,UPI,Pending,Rejected
CUST89182731,Nirja Wadhwa,sharmakala@example.org,+91-9500303807,CULJX1259X,7005-2959-5985,SB-6028-4335-2666,HDFC7294212,342681.58,705,TXN2026031116283519,58934.78,IMPS,Rejected,Rejected
CUST67773124,Aditya Lala,jack68@example.com,+91-7896553083,UIFTV7937C,8428-9433-5912,SB-6709-7505-9588,AXIS7284132,270175.25,752,TXN2026031116283563,13799.23,NEFT,Rejected,Active
CUST23475917,Januja Chauhan,daniekansh@example.com,+91-9946279837,POZYB1525O,1960-3321-1210,SB-3041-9127-2954,ICIC3032943,316007.46,853,TXN2026031116283571,11498.07,IMPS,Rejected,Closed
CUST66902703,Nachiket Sharma,csane@example.net,+91-7745666417,MYVJC5300R,7808-2401-8145,SB-5922-7075-8389,KOTAK2630252,22341.8,850,TXN2026031116283542,65955.83,RTGS,Verified,NPA
CUST89086980,Tanish Tank,krishnadhingra@example.net,+91-7233688983,DAUWB6442X,9336-3606-9585,SB-3672-4383-4554,KOTAK3438822,343816.38,849,TXN2026031116283525,59192.84,NEFT,Verified,NPA
CUST67271454,Theodore Keer,aradhanadayal@example.net,+91-7295125269,NYMLX7421M,3787-4850-4909,SB-9219-3253-6529,HDFC3703399,316616.11,755,TXN2026031116283576,145229.16,UPI,Pending,Active
CUST70755658,Isha Goswami,ekapad63@example.org,+91-9338539035,REYKB0376U,6877-9435-8175,SB-2389-7122-3277,SBIN4814304,193185.8,818,TXN2026031116283548,23122.55,NEFT,Pending,Closed
CUST84541828,Megha Chowdhury,srinivasanjackson@example.net,+91-8391215689,HJLLL3986H,8542-8010-2467,SB-3903-7681-1203,ICIC2243298,377676.54,721,TXN2026031116283590,77029.0,RTGS,Rejected,NPA
CUST31136712,Shaurya Kala,mkarnik@example.net,+91-7662008760,WDXQN5794X,9248-1146-7613,SB-7187-7113-8099,SBIN6322175,455333.31,872,TXN2026031116283541,29173.28,RTGS,Rejected,NPA
CUST86305131,Gauri Tata,sbabu@example.net,+91-7040039643,VWDPJ5841M,6142-2801-4807,SB-7311-8578-7524,AXIS1494050,496156.18,879,TXN2026031116283566,175740.45,NEFT,Verified,Rejected
CUST27298137,Kabir Bhandari,aishanichakrabarti@example.com,+91-7462570532,NISMP0081X,1606-6811-8480,SB-5084-9549-9952,ICIC8168982,198657.72,789,TXN2026031116283585,157233.02,RTGS,Rejected,Rejected
CUST73843600,Jhalak Khanna,kadelohit@example.net,+91-9531387287,LQJRF4059O,4371-3197-1498,SB-6210-4248-6990,AXIS7419699,448880.86,843,TXN2026031116283558,60832.65,NEFT,Pending,Rejected
CUST20434671,Bimala Lal,harininagi@example.net,+91-9510976220,NARUD1531U,3830-7439-9478,SB-7729-2398-9354,AXIS1882791,317268.01,752,TXN2026031116283556,17319.46,IMPS,Pending,NPA
CUST10207568,Bhavya Nagar,ekantagole@example.net,+91-9177526251,CRLFG9772Y,5298-3265-3982,SB-4294-9059-4547,AXIS6049959,447633.12,778,TXN2026031116283537,23141.3,UPI,Rejected,NPA
CUST42252620,Janani Badami,meghana26@example.net,+91-8512722777,NXRRU8328L,9056-4364-6049,SB-2573-1046-5872,SBIN4613307,342602.41,780,TXN2026031116283589,155574.46,UPI,Verified,Rejected
CUST80381501,Niharika Bahl,lucky14@example.net,+91-8944377249,NXGDR9562A,1198-6688-7064,SB-1534-2501-6903,AXIS2671351,384679.48,854,TXN2026031116283519,14773.7,IMPS,Pending,Closed
CUST53329309,Madhavi Ramanathan,aaravsami@example.org,+91-7900953221,SGNKM2563M,2928-5488-9899,SB-2279-4199-2089,AXIS2613560,295572.84,820,TXN2026031116283591,36372.97,IMPS,Rejected,Active
CUST61412052,Daksha Sheth,maanaskadakia@example.net,+91-8427896305,TTZOG0163B,2345-7704-8597,SB-6022-7815-7716,SBIN3016378,118397.3,737,TXN2026031116283511,170506.81,IMPS,Verified,NPA
CUST88765353,Anirudh Kaul,shroffjanya@example.org,+91-7391928688,RNUIN2807V,4196-2485-1906,SB-3404-6250-3580,SBIN6644360,460971.9,721,TXN2026031116283558,69984.85,IMPS,Verified,Closed
CUST99530788,Vedant Patla,ppradhan@example.org,+91-7187827545,XYEMY3612Q,2594-8026-2793,SB-1078-9242-4820,KOTAK2801152,363376.91,858,TXN2026031116283596,9824.36,NEFT,Rejected,Closed
CUST31730159,Balveer Goswami,mandomya@example.org,+91-9572908136,VIPHY9933H,7808-9560-3245,SB-9782-9336-6506,KOTAK2231652,354830.98,813,TXN2026031116283557,60817.1,UPI,Rejected,Active
CUST97826920,Zayan Desai,jonathan56@example.org,+91-7495930256,NMYDV5781E,2054-7082-3738,SB-4686-9032-8785,AXIS9145373,213295.63,775,TXN2026031116283530,71070.99,IMPS,Verified,Closed
CUST66031560,Radhika Dey,mminhas@example.org,+91-7961486889,EJLDK2849K,5657-6021-8545,SB-6507-1915-2749,ICIC4448315,65350.74,789,TXN2026031116283586,165809.18,NEFT,Verified,Rejected
CUST69047941,Matthew Dash,keersamarth@example.net,+91-7740315844,MYCUJ9902K,1413-3319-3608,SB-9761-1844-4959,ICIC5872673,155868.21,776,TXN2026031116283546,189543.17,IMPS,Verified,Rejected
CUST60432907,Jai Varughese,sudikshadugal@example.com,+91-9400936840,EEAIE8617U,5586-1533-9479,SB-7188-7442-9930,HDFC3593465,403892.24,726,TXN2026031116283562,136275.49,IMPS,Pending,Rejected
CUST73124444,Bhavna Kaul,deqarin@example.net,+91-8822054040,TLTTZ6658Y,9272-3050-1842,SB-4425-7928-7506,KOTAK4485457,201120.08,766,TXN2026031116283556,138677.81,NEFT,Rejected,Active
CUST53711548,Amol Chadha,goursarthak@example.org,+91-7584749988,ZIPSF4817N,5681-3345-2915,SB-6363-4343-5884,KOTAK5908974,201135.58,764,TXN2026031116283568,101693.75,IMPS,Rejected,Rejected
CUST46004944,Shivani Madan,bhardwajlohit@example.org,+91-9547492478,AHDKX2596X,3335-8634-4193,SB-2075-7937-6996,ICIC2611651,14944.03,716,TXN2026031116283598,197526.47,IMPS,Verified,Rejected
CUST30921475,Maanav Palla,aarnav79@example.com,+91-9689315639,CXGJX3083M,6375-8221-7748,SB-4489-2811-2288,ICIC6442545,169866.3,836,TXN2026031116283547,175174.07,IMPS,Verified,NPA
CUST81608176,Hritik Raja,tandonganga@example.com,+91-8382097509,OIOBU8695H,5938-7691-2557,SB-3115-4030-9609,ICIC2146460,191978.83,874,TXN2026031116283516,74518.78,RTGS,Verified,Rejected
CUST11228999,Lohit Prasad,kumarfaraj@example.com,+91-7838547969,XDVXG7215E,5920-9907-6754,SB-9694-1402-8138,SBIN3264316,477567.1,776,TXN2026031116283535,143450.92,UPI,Verified,Closed
CUST28632823,Samaksh Mukherjee,ychauhan@example.com,+91-9973879330,LIATL6740A,2483-1327-6612,SB-1106-7620-2514,ICIC1589347,483525.09,881,TXN2026031116283527,114441.13,UPI,Pending,Closed
CUST84003087,Abdul Kakar,chandkaran@example.org,+91-9005995868,DLHIX8185F,5572-1913-2689,SB-6895-2145-1096,KOTAK8961778,391952.62,783,TXN2026031116283528,79577.96,RTGS,Verified,Closed
